transaction_id,customer_id,transaction_amount,transaction_type,transaction_date,transaction_hour,is_weekend,month,quarter,is_large_txn
TXN000056,CUST0003,7085.89,transfer,2023-02-20,18,0,2,1,1
TXN000057,CUST0003,6442.69,transfer,2024-11-21,7,0,11,4,1
TXN000058,CUST0003,490.96,deposit,2024-11-13,12,0,11,4,0
TXN000059,CUST0003,2170.16,investment,2023-10-22,9,1,10,4,0
TXN000060,CUST0003,6903.39,withdrawal,2023-01-13,18,0,1,1,1
TXN000061,CUST0003,2781.57,deposit,2023-05-02,4,0,5,2,0
TXN000062,CUST0003,4289.8,withdrawal,2023-02-02,16,0,2,1,0
TXN000063,CUST0003,653.45,transfer,2024-09-18,17,0,9,3,0
TXN000064,CUST0003,9099.47,investment,2023-11-04,7,1,11,4,1
TXN000065,CUST0003,8806.2,transfer,2024-10-31,19,0,10,4,1
TXN000066,CUST0003,3598.15,investment,2023-06-28,7,0,6,2,0
TXN000067,CUST0003,3411.27,investment,2024-01-18,1,0,1,1,0
TXN000068,CUST0003,715.91,bill_payment,2024-01-06,1,1,1,1,0
TXN000069,CUST0003,5698.25,bill_payment,2024-02-22,18,0,2,1,1
TXN000070,CUST0003,3983.86,deposit,2023-01-14,13,1,1,1,0
TXN000071,CUST0003,746.14,deposit,2024-07-14,12,1,7,3,0
TXN000072,CUST0003,2635.05,bill_payment,2024-03-25,22,0,3,1,0
TXN000073,CUST0003,5014.53,bill_payment,2023-09-05,22,0,9,3,1
TXN000074,CUST0003,7169.4,withdrawal,2024-11-27,6,0,11,4,1
TXN000075,CUST0003,5707.06,withdrawal,2024-11-09,9,1,11,4,1
TXN000076,CUST0003,6991.9,investment,2023-11-11,11,1,11,4,1
TXN000077,CUST0003,37.76,deposit,2023-08-19,15,1,8,3,0
TXN000078,CUST0003,7590.04,bill_payment,2024-04-14,5,1,4,2,1
TXN000079,CUST0003,90.42,transfer,2023-12-09,5,1,12,4,0
TXN000080,CUST0003,8286.14,transfer,2024-10-10,2,0,10,4,1
TXN000081,CUST0003,9853.83,withdrawal,2024-05-20,10,0,5,2,1
TXN000082,CUST0003,8989.45,withdrawal,2023-09-19,5,0,9,3,1
TXN000083,CUST0003,4599.19,deposit,2023-10-20,8,0,10,4,0
TXN000084,CUST0003,620.87,investment,2023-07-08,5,1,7,3,0
TXN000085,CUST0003,7027.54,investment,2024-11-08,4,0,11,4,1
TXN000086,CUST0003,3084.08,withdrawal,2023-08-13,3,1,8,3,0
TXN000087,CUST0003,7374.92,deposit,2023-03-13,1,0,3,1,1
TXN000088,CUST0003,6435.08,deposit,2024-08-08,13,0,8,3,1
TXN000089,CUST0003,3568.13,deposit,2024-11-24,0,1,11,4,0
TXN000090,CUST0003,5562.3,investment,2024-10-14,13,0,10,4,1
TXN000091,CUST0003,2437.33,transfer,2024-06-06,4,0,6,2,0
TXN000092,CUST0003,3846.42,deposit,2023-04-30,14,1,4,2,0
TXN000093,CUST0003,6166.5,withdrawal,2023-08-14,0,0,8,3,1
TXN000094,CUST0003,9577.3,transfer,2023-10-16,14,0,10,4,1
TXN000095,CUST0003,5569.27,investment,2023-12-09,17,1,12,4,1
TXN000096,CUST0003,8573.53,transfer,2024-04-06,5,1,4,2,1
TXN000097,CUST0003,5938.26,withdrawal,2023-03-31,18,0,3,1,1
TXN000098,CUST0003,1683.2,transfer,2024-03-09,1,1,3,1,0
TXN000099,CUST0003,4196.61,withdrawal,2023-08-25,5,0,8,3,0
TXN000100,CUST0003,4581.16,withdrawal,2023-01-09,11,0,1,1,0
TXN000101,CUST0003,786.6,withdrawal,2024-06-17,14,0,6,2,0
TXN000102,CUST0003,6952.08,deposit,2024-04-19,4,0,4,2,1
TXN000103,CUST0003,1154.2,bill_payment,2023-01-02,11,0,1,1,0
TXN000104,CUST0003,7139.81,withdrawal,2023-06-15,17,0,6,2,1
TXN000105,CUST0004,4320.18,withdrawal,2023-07-05,5,0,7,3,0
TXN000106,CUST0004,7258.32,investment,2023-04-12,5,0,4,2,1
TXN000107,CUST0004,9069.97,transfer,2023-03-11,16,1,3,1,1
TXN000108,CUST0004,5732.78,investment,2023-05-08,15,0,5,2,1
TXN000109,CUST0004,5659.78,transfer,2023-01-05,13,0,1,1,1
TXN000110,CUST0005,4370.94,investment,2023-04-25,17,0,4,2,0
TXN000111,CUST0005,5506.88,transfer,2024-01-16,2,0,1,1,1
TXN000112,CUST0005,5694.06,transfer,2024-08-25,14,1,8,3,1
TXN000113,CUST0005,1683.12,bill_payment,2024-12-07,22,1,12,4,0
TXN000114,CUST0005,5564.57,bill_payment,2023-04-07,1,0,4,2,1
TXN000115,CUST0005,7506.62,deposit,2024-12-26,10,0,12,4,1
TXN000116,CUST0005,5354.43,bill_payment,2023-08-31,22,0,8,3,1
TXN000117,CUST0005,681.02,withdrawal,2024-09-10,12,0,9,3,0
TXN000118,CUST0005,5090.12,withdrawal,2024-09-15,18,1,9,3,1
TXN000119,CUST0005,8039.02,withdrawal,2024-05-06,8,0,5,2,1
TXN000120,CUST0005,8663.66,transfer,2023-12-06,21,0,12,4,1
TXN000121,CUST0006,1689.53,withdrawal,2024-06-10,15,0,6,2,0
TXN000122,CUST0006,549.2,deposit,2023-06-16,17,0,6,2,0
TXN000123,CUST0006,2952.51,investment,2023-08-07,4,0,8,3,0
TXN000124,CUST0006,1361.35,withdrawal,2024-10-02,4,0,10,4,0
TXN000125,CUST0006,895.92,transfer,2023-03-02,8,0,3,1,0
TXN000126,CUST0006,6551.79,transfer,2024-05-13,23,0,5,2,1
TXN000127,CUST0006,7480.25,investment,2023-05-15,2,0,5,2,1
TXN000128,CUST0006,5776.97,transfer,2024-03-07,22,0,3,1,1
TXN000129,CUST0006,6734.53,deposit,2023-07-20,23,0,7,3,1
TXN000130,CUST0006,1284.53,deposit,2024-10-04,20,0,10,4,0
TXN000131,CUST0006,2777.21,deposit,2023-08-01,22,0,8,3,0
TXN000132,CUST0007,8525.23,withdrawal,2023-06-02,4,0,6,2,1
TXN000133,CUST0007,3598.16,bill_payment,2024-03-25,4,0,3,1,0
TXN000134,CUST0007,2444.56,deposit,2024-12-13,22,0,12,4,0
TXN000135,CUST0007,8986.13,deposit,2023-07-18,4,0,7,3,1
TXN000136,CUST0007,4185.11,deposit,2024-05-30,1,0,5,2,0
TXN000137,CUST0007,3964.77,transfer,2024-02-21,0,0,2,1,0
TXN000138,CUST0007,3450.9,deposit,2024-11-29,19,0,11,4,0
TXN000139,CUST0007,4574.61,bill_payment,2023-08-25,11,0,8,3,0
TXN000140,CUST0007,968.58,investment,2024-02-12,17,0,2,1,0
TXN000141,CUST0007,7681.37,withdrawal,2023-08-18,21,0,8,3,1
TXN000142,CUST0007,9906.78,withdrawal,2023-01-24,2,0,1,1,1
TXN000143,CUST0007,4702.07,deposit,2024-03-01,12,0,3,1,0
TXN000144,CUST0007,8607.4,deposit,2024-09-14,5,1,9,3,1
TXN000145,CUST0007,2189.52,investment,2024-08-19,0,0,8,3,0
TXN000146,CUST0007,8423.05,withdrawal,2023-09-27,23,0,9,3,1
TXN000147,CUST0007,678.14,transfer,2024-07-08,12,0,7,3,0
TXN000148,CUST0007,1516.85,withdrawal,2024-02-06,2,0,2,1,0
TXN000149,CUST0007,4203.8,deposit,2023-07-27,0,0,7,3,0
TXN000150,CUST0007,3675.26,deposit,2024-05-28,17,0,5,2,0
TXN000151,CUST0007,8415.93,bill_payment,2024-01-13,12,1,1,1,1
TXN000152,CUST0007,3837.82,deposit,2024-04-16,22,0,4,2,0
TXN000153,CUST0007,850.29,withdrawal,2024-02-08,16,0,2,1,0
TXN000154,CUST0007,3623.09,transfer,2024-02-08,9,0,2,1,0
TXN000155,CUST0007,7790.24,transfer,2024-08-18,8,1,8,3,1
TXN000156,CUST0007,4415.34,deposit,2023-11-04,13,1,11,4,0
TXN000157,CUST0007,6851.73,withdrawal,2024-02-05,19,0,2,1,1
TXN000158,CUST0007,5679.85,withdrawal,2023-07-13,11,0,7,3,1
TXN000159,CUST0007,6475.76,transfer,2023-01-09,12,0,1,1,1
TXN000160,CUST0007,1905.83,bill_payment,2023-06-21,5,0,6,2,0
TXN000161,CUST0007,4344.06,withdrawal,2024-01-30,3,0,1,1,0
TXN000162,CUST0007,9686.89,transfer,2023-04-01,8,1,4,2,1
TXN000163,CUST0007,6657.99,bill_payment,2023-08-10,23,0,8,3,1
TXN000164,CUST0007,6957.31,investment,2023-12-18,8,0,12,4,1
TXN000165,CUST0007,1023.1,withdrawal,2024-11-20,16,0,11,4,0
TXN000166,CUST0007,5342.67,deposit,2024-06-09,15,1,6,2,1
TXN000167,CUST0007,989.88,investment,2024-08-31,19,1,8,3,0
TXN000168,CUST0007,6398.31,withdrawal,2024-02-22,23,0,2,1,1
TXN000169,CUST0007,6583.57,deposit,2023-11-15,18,0,11,4,1
TXN000170,CUST0007,2644.06,bill_payment,2024-11-30,6,1,11,4,0
TXN000171,CUST0007,8051.93,transfer,2024-07-27,4,1,7,3,1
TXN000172,CUST0007,9741.34,bill_payment,2023-10-16,5,0,10,4,1
TXN000173,CUST0007,3653.06,deposit,2024-01-10,7,0,1,1,0
TXN000174,CUST0007,2614.81,withdrawal,2023-08-19,6,1,8,3,0
TXN000175,CUST0007,784.71,withdrawal,2023-02-05,22,1,2,1,0
TXN000176,CUST0007,5000.09,investment,2024-01-10,0,0,1,1,1
TXN000177,CUST0007,3704.25,transfer,2024-01-18,14,0,1,1,0
TXN000178,CUST0007,6754.64,investment,2024-02-04,15,1,2,1,1
TXN000179,CUST0007,4019.75,bill_payment,2023-12-05,22,0,12,4,0
TXN000180,CUST0007,9470.42,transfer,2023-10-02,11,0,10,4,1
TXN000181,CUST0008,5647.53,transfer,2024-03-23,8,1,3,1,1
TXN000182,CUST0008,9312.62,bill_payment,2024-02-07,19,0,2,1,1
TXN000183,CUST0008,9623.13,bill_payment,2024-05-29,2,0,5,2,1
TXN000184,CUST0008,9060.39,withdrawal,2024-03-17,4,1,3,1,1
TXN000185,CUST0008,3439.14,withdrawal,2023-03-22,11,0,3,1,0
TXN000186,CUST0008,6980.44,investment,2023-01-23,0,0,1,1,1
TXN000187,CUST0008,9253.68,transfer,2024-08-09,19,0,8,3,1
TXN000188,CUST0008,884.51,investment,2023-11-10,10,0,11,4,0
TXN000189,CUST0008,5963.49,bill_payment,2023-07-09,10,1,7,3,1
TXN000190,CUST0008,3819.06,investment,2024-01-16,9,0,1,1,0
TXN000191,CUST0008,1137.29,withdrawal,2024-04-02,7,0,4,2,0
TXN000192,CUST0008,8702.46,bill_payment,2023-01-14,8,1,1,1,1
TXN000193,CUST0008,3685.75,withdrawal,2023-05-20,22,1,5,2,0
TXN000194,CUST0008,2664.29,deposit,2024-08-25,12,1,8,3,0
TXN000195,CUST0008,535.86,transfer,2023-05-06,21,1,5,2,0
TXN000196,CUST0008,5839.38,investment,2023-09-29,7,0,9,3,1
TXN000197,CUST0008,8167.61,bill_payment,2023-06-11,9,1,6,2,1
TXN000198,CUST0008,2142.77,transfer,2023-11-21,1,0,11,4,0
TXN000199,CUST0008,4132.37,investment,2024-04-08,21,0,4,2,0
TXN000200,CUST0008,1051.46,withdrawal,2024-04-13,21,1,4,2,0
TXN000201,CUST0009,6459.71,investment,2023-01-31,23,0,1,1,1
TXN000202,CUST0009,9402.07,bill_payment,2023-05-05,11,0,5,2,1
TXN000203,CUST0009,9319.89,withdrawal,2023-06-21,2,0,6,2,1
TXN000204,CUST0009,4471.88,investment,2024-01-13,17,1,1,1,0
TXN000205,CUST0009,1572.62,transfer,2023-10-15,11,1,10,4,0
TXN000206,CUST0009,7393.85,transfer,2024-11-04,5,0,11,4,1
TXN000207,CUST0010,2605.02,bill_payment,2024-06-01,21,1,6,2,0
TXN000208,CUST0010,495.61,bill_payment,2024-10-28,15,0,10,4,0
TXN000209,CUST0010,8698.24,withdrawal,2023-07-18,21,0,7,3,1
TXN000210,CUST0010,4115.11,investment,2023-01-26,10,0,1,1,0
TXN000211,CUST0010,9050.32,withdrawal,2023-06-01,14,0,6,2,1
TXN000212,CUST0010,5777.27,withdrawal,2024-04-08,12,0,4,2,1
TXN000213,CUST0010,4073.31,transfer,2024-11-29,6,0,11,4,0
TXN000214,CUST0010,1123.64,deposit,2024-04-24,1,0,4,2,0
TXN000215,CUST0010,9250.75,deposit,2024-10-23,20,0,10,4,1
TXN000216,CUST0010,8154.76,transfer,2024-12-18,14,0,12,4,1
TXN000217,CUST0010,255.62,deposit,2024-07-03,11,0,7,3,0
TXN000218,CUST0010,6586.27,investment,2023-11-30,1,0,11,4,1
TXN000219,CUST0010,9208.54,deposit,2023-02-07,15,0,2,1,1
TXN000220,CUST0010,7297.59,withdrawal,2024-11-29,2,0,11,4,1
TXN000221,CUST0010,3204.69,withdrawal,2023-11-13,21,0,11,4,0
TXN000222,CUST0010,4259.97,deposit,2023-07-19,19,0,7,3,0
TXN000223,CUST0010,9676.92,withdrawal,2023-11-05,22,1,11,4,1
TXN000224,CUST0010,7633.01,withdrawal,2023-05-07,16,1,5,2,1
TXN000225,CUST0010,4948.83,deposit,2024-10-04,5,0,10,4,0
TXN000226,CUST0010,1225.02,withdrawal,2023-02-05,12,1,2,1,0
TXN000227,CUST0010,3517.13,transfer,2024-09-29,4,1,9,3,0
TXN000228,CUST0010,1768.34,bill_payment,2024-06-14,23,0,6,2,0
TXN000229,CUST0010,6452.3,investment,2023-01-28,18,1,1,1,1
TXN000230,CUST0010,7843.09,bill_payment,2024-10-08,11,0,10,4,1
TXN000231,CUST0010,9663.94,transfer,2023-05-11,11,0,5,2,1
TXN000232,CUST0010,9096.35,withdrawal,2024-11-06,4,0,11,4,1
TXN000233,CUST0010,6402.97,withdrawal,2023-06-23,14,0,6,2,1
TXN000234,CUST0010,1909.14,investment,2023-08-21,16,0,8,3,0
TXN000235,CUST0010,1751.32,investment,2024-09-09,9,0,9,3,0
TXN000236,CUST0010,6914.99,bill_payment,2024-01-08,7,0,1,1,1
TXN000237,CUST0010,1300.73,withdrawal,2023-12-29,13,0,12,4,0
TXN000238,CUST0010,5077.69,deposit,2024-03-13,1,0,3,1,1
TXN000239,CUST0011,9074.91,deposit,2024-02-11,17,1,2,1,1
TXN000240,CUST0011,5119.39,deposit,2024-04-15,12,0,4,2,1
TXN000241,CUST0011,7881.24,bill_payment,2024-09-13,3,0,9,3,1
TXN000242,CUST0011,8299.35,withdrawal,2024-06-01,6,1,6,2,1
TXN000243,CUST0011,995.72,deposit,2024-01-26,15,0,1,1,0
TXN000244,CUST0011,3970.29,withdrawal,2023-05-08,11,0,5,2,0
TXN000245,CUST0011,2230.39,investment,2024-10-22,17,0,10,4,0
TXN000246,CUST0011,6324.88,investment,2024-11-25,5,0,11,4,1
TXN000247,CUST0011,9636.94,deposit,2024-12-24,15,0,12,4,1
TXN000248,CUST0011,9231.2,bill_payment,2024-11-13,8,0,11,4,1
TXN000249,CUST0011,7795.71,transfer,2024-06-30,15,1,6,2,1
TXN000250,CUST0011,4431.74,transfer,2023-07-25,8,0,7,3,0
TXN000251,CUST0011,2106.1,withdrawal,2023-05-15,6,0,5,2,0
TXN000252,CUST0011,1424.93,withdrawal,2024-12-08,5,1,12,4,0
TXN000253,CUST0011,178.7,investment,2024-12-30,3,0,12,4,0
TXN000254,CUST0011,2545.03,transfer,2024-09-14,4,1,9,3,0
TXN000255,CUST0011,9903.99,investment,2023-12-21,23,0,12,4,1
TXN000256,CUST0011,7176.38,withdrawal,2024-08-02,21,0,8,3,1
TXN000257,CUST0011,1794.6,withdrawal,2024-12-02,11,0,12,4,0
TXN000258,CUST0011,3776.5,deposit,2024-02-19,19,0,2,1,0
TXN000259,CUST0011,3722.19,withdrawal,2023-12-12,1,0,12,4,0
TXN000260,CUST0011,8332.83,withdrawal,2024-02-03,20,1,2,1,1
TXN000261,CUST0011,676.02,withdrawal,2024-05-05,20,1,5,2,0
TXN000262,CUST0011,563.66,investment,2023-04-28,12,0,4,2,0
TXN000263,CUST0011,2765.04,bill_payment,2024-12-01,7,1,12,4,0
TXN000264,CUST0011,6693.33,bill_payment,2023-01-07,7,1,1,1,1
TXN000265,CUST0011,7723.98,transfer,2024-07-26,20,0,7,3,1
TXN000266,CUST0011,1493.49,transfer,2024-07-29,21,0,7,3,0
TXN000267,CUST0011,7749.94,withdrawal,2023-03-15,5,0,3,1,1
TXN000268,CUST0011,5092.09,deposit,2024-02-15,9,0,2,1,1
TXN000269,CUST0011,2300.09,bill_payment,2024-11-10,23,1,11,4,0
TXN000270,CUST0011,3867.3,transfer,2024-04-29,10,0,4,2,0
TXN000271,CUST0011,459.88,bill_payment,2023-10-11,10,0,10,4,0
TXN000272,CUST0011,736.49,investment,2023-09-15,5,0,9,3,0
TXN000273,CUST0011,3689.19,deposit,2024-10-03,13,0,10,4,0
TXN000274,CUST0012,5666.6,deposit,2023-03-15,21,0,3,1,1
TXN000275,CUST0012,4288.37,transfer,2023-12-17,0,1,12,4,0
TXN000276,CUST0012,5766.56,deposit,2024-08-06,12,0,8,3,1
TXN000277,CUST0012,5913.44,withdrawal,2024-08-29,14,0,8,3,1
TXN000278,CUST0012,3583.95,bill_payment,2024-07-14,5,1,7,3,0
TXN000279,CUST0012,8036.25,bill_payment,2023-03-03,4,0,3,1,1
TXN000280,CUST0012,1695.59,transfer,2023-01-19,5,0,1,1,0
TXN000281,CUST0012,720.5,deposit,2024-11-13,20,0,11,4,0
TXN000282,CUST0012,1368.19,deposit,2024-05-23,21,0,5,2,0
TXN000283,CUST0012,3081.74,withdrawal,2023-04-02,6,1,4,2,0
TXN000284,CUST0012,7521.46,withdrawal,2024-08-08,13,0,8,3,1
TXN000285,CUST0012,4632.95,bill_payment,2024-09-27,18,0,9,3,0
TXN000286,CUST0012,4065.77,bill_payment,2024-10-24,18,0,10,4,0
TXN000287,CUST0012,2164.04,bill_payment,2024-06-19,5,0,6,2,0
TXN000288,CUST0012,8933.03,bill_payment,2024-03-12,7,0,3,1,1
TXN000289,CUST0012,9851.05,investment,2023-03-23,5,0,3,1,1
TXN000290,CUST0012,6523.82,bill_payment,2023-05-16,21,0,5,2,1
TXN000291,CUST0012,9591.85,bill_payment,2023-01-29,22,1,1,1,1
TXN000292,CUST0012,5352.3,investment,2024-08-13,15,0,8,3,1
TXN000293,CUST0012,4209.36,investment,2024-10-26,7,1,10,4,0
TXN000294,CUST0012,9407.64,withdrawal,2024-10-14,21,0,10,4,1
TXN000295,CUST0012,2038.12,transfer,2024-08-08,19,0,8,3,0
TXN000296,CUST0013,3294.87,bill_payment,2024-10-07,6,0,10,4,0
TXN000297,CUST0013,6724.41,investment,2023-02-01,18,0,2,1,1
TXN000298,CUST0013,1825.07,transfer,2024-10-14,3,0,10,4,0
TXN000299,CUST0013,1593.81,deposit,2023-05-29,18,0,5,2,0
TXN000300,CUST0013,8423.23,transfer,2023-03-12,11,1,3,1,1
TXN000301,CUST0013,2730.15,bill_payment,2024-05-12,9,1,5,2,0
TXN000302,CUST0013,7997.41,bill_payment,2024-07-30,9,0,7,3,1
TXN000303,CUST0013,7112.55,deposit,2024-05-06,0,0,5,2,1
TXN000304,CUST0013,9682.01,bill_payment,2023-05-24,14,0,5,2,1
TXN000305,CUST0013,3098.78,transfer,2024-02-10,21,1,2,1,0
TXN000306,CUST0014,2984.46,bill_payment,2024-05-23,14,0,5,2,0
TXN000307,CUST0014,9234.34,bill_payment,2024-08-30,2,0,8,3,1
TXN000308,CUST0014,3862.71,withdrawal,2024-03-05,11,0,3,1,0
TXN000309,CUST0014,2576.75,deposit,2024-03-12,10,0,3,1,0
TXN000310,CUST0014,4072.99,deposit,2023-02-03,11,0,2,1,0
TXN000311,CUST0014,4707.9,withdrawal,2023-11-19,1,1,11,4,0
TXN000312,CUST0014,9750.76,bill_payment,2024-08-25,18,1,8,3,1
TXN000313,CUST0014,1872.85,investment,2024-03-12,14,0,3,1,0
TXN000314,CUST0014,1108.0,deposit,2024-03-27,20,0,3,1,0
TXN000315,CUST0014,1382.16,transfer,2024-08-02,22,0,8,3,0
TXN000316,CUST0014,3217.75,withdrawal,2024-01-25,1,0,1,1,0
TXN000317,CUST0014,5939.71,transfer,2024-12-12,23,0,12,4,1
TXN000318,CUST0014,3686.39,withdrawal,2023-01-09,3,0,1,1,0
TXN000319,CUST0014,1619.41,investment,2023-06-15,13,0,6,2,0
TXN000320,CUST0014,4271.4,withdrawal,2024-11-21,7,0,11,4,0
TXN000321,CUST0014,6144.67,transfer,2023-03-22,16,0,3,1,1
TXN000322,CUST0014,8406.56,investment,2024-09-27,10,0,9,3,1
TXN000323,CUST0014,3493.32,bill_payment,2024-09-18,9,0,9,3,0
TXN000324,CUST0014,2487.66,bill_payment,2024-02-28,10,0,2,1,0
TXN000325,CUST0014,7455.84,transfer,2023-09-26,9,0,9,3,1
TXN000326,CUST0014,7857.79,transfer,2024-12-27,9,0,12,4,1
TXN000327,CUST0014,3961.26,deposit,2024-09-18,19,0,9,3,0
TXN000328,CUST0014,7532.29,withdrawal,2024-08-26,7,0,8,3,1
TXN000329,CUST0014,2765.12,transfer,2024-12-23,14,0,12,4,0
TXN000330,CUST0014,5753.45,withdrawal,2023-10-19,8,0,10,4,1
TXN000331,CUST0014,181.59,transfer,2024-02-24,21,1,2,1,0
TXN000332,CUST0014,1721.66,investment,2024-11-04,7,0,11,4,0
TXN000333,CUST0014,3288.6,investment,2023-02-18,13,1,2,1,0
TXN000334,CUST0014,7232.27,investment,2023-05-12,23,0,5,2,1
TXN000335,CUST0014,6693.39,investment,2023-08-12,17,1,8,3,1
TXN000336,CUST0014,5830.54,investment,2024-10-19,8,1,10,4,1
TXN000337,CUST0014,1585.36,withdrawal,2023-04-13,0,0,4,2,0
TXN000338,CUST0015,621.43,withdrawal,2024-04-01,5,0,4,2,0
TXN000339,CUST0015,7619.22,bill_payment,2023-04-28,15,0,4,2,1
TXN000340,CUST0015,8993.39,transfer,2023-12-01,16,0,12,4,1
TXN000341,CUST0015,2877.78,withdrawal,2023-12-23,22,1,12,4,0
TXN000342,CUST0015,3373.41,transfer,2024-02-27,18,0,2,1,0
TXN000343,CUST0015,382.55,withdrawal,2023-05-16,0,0,5,2,0
TXN000344,CUST0015,2788.6,transfer,2023-02-13,13,0,2,1,0
TXN000345,CUST0015,9289.71,bill_payment,2023-11-08,4,0,11,4,1
TXN000346,CUST0015,5670.07,withdrawal,2024-09-17,0,0,9,3,1
TXN000347,CUST0015,1075.29,transfer,2023-05-25,3,0,5,2,0
TXN000348,CUST0015,3339.85,bill_payment,2023-07-28,12,0,7,3,0
TXN000349,CUST0015,7072.72,investment,2023-12-31,12,1,12,4,1
TXN000350,CUST0015,5827.68,transfer,2023-07-14,20,0,7,3,1
TXN000351,CUST0015,9638.79,bill_payment,2024-11-24,17,1,11,4,1
TXN000352,CUST0015,9227.75,deposit,2024-03-16,19,1,3,1,1
TXN000353,CUST0015,2618.3,deposit,2023-08-12,11,1,8,3,0
TXN000354,CUST0015,1899.63,transfer,2024-07-19,22,0,7,3,0
TXN000355,CUST0015,3884.98,bill_payment,2023-12-02,2,1,12,4,0
TXN000356,CUST0015,9346.14,withdrawal,2023-03-16,17,0,3,1,1
TXN000357,CUST0015,8851.33,deposit,2024-01-15,9,0,1,1,1
TXN000358,CUST0015,8289.85,withdrawal,2023-07-07,5,0,7,3,1
TXN000359,CUST0015,344.52,withdrawal,2024-11-17,7,1,11,4,0
