customer_id,recency,frequency,monetary,avg_amount,max_amount,n_types,n_weekends,n_large_txns,active_months,pca1,pca2,cluster
CUST0024,25,6,26498.74,4416.46,9046.98,3,3,3,5,-4.370079216514858,-0.24135017055894703,1
CUST0025,18,46,235445.57,5118.38,9847.74,5,13,25,12,2.9103199375674396,0.36185850895621924,0
CUST0026,32,33,141628.19,4291.76,9967.72,5,7,12,10,0.1292728543482833,-1.1091784469948827,0
CUST0027,64,7,51993.83,7427.69,9618.39,4,1,6,5,-3.548117193206724,3.7524002847855678,1
CUST0028,25,12,61634.75,5136.23,8403.49,4,7,7,7,-2.3717361646732145,0.3331409443970452,1
CUST0029,21,44,236839.08,5382.71,9918.64,5,14,24,11,2.707952611099399,0.7649787184815816,0
CUST0030,41,27,129768.13,4806.23,9978.73,5,9,12,12,0.3916386380367361,-0.504174933571155,0
CUST0031,11,50,224994.68,4499.89,9992.73,5,15,20,12,2.842911225946976,-0.7092049141804609,0
CUST0032,38,39,194484.99,4986.79,9930.79,5,11,18,12,1.737353683944955,0.013891333905618477,0
CUST0033,64,21,92829.87,4420.47,9777.92,5,5,10,11,-0.8218729699346503,-0.9473457507794225,1
CUST0034,38,18,76455.92,4247.55,9640.45,5,3,7,9,-1.6165168154515723,-1.3215228485680155,1
CUST0035,18,12,63613.37,5301.11,8947.54,5,6,8,8,-1.5731474935577994,0.050128451352262744,1
CUST0036,1,12,54957.4,4579.78,8658.37,5,3,5,10,-1.6726226493366247,-1.233891106792386,1
CUST0037,8,36,161671.82,4490.88,9431.36,5,8,15,12,1.1089371219720796,-0.9659643720460014,0
CUST0038,60,48,244685.58,5097.62,9579.45,5,13,23,12,2.7080075412848026,0.5212309581100333,0
CUST0039,9,45,201168.36,4470.41,9859.98,5,15,19,12,2.480985207209537,-0.8319687710355953,0
CUST0040,235,11,63513.0,5773.91,8601.1,5,3,8,7,-3.0805206959627145,1.975452560125106,1
CUST0041,15,17,96145.38,5655.61,9726.88,4,2,10,9,-1.8008260789263364,1.043675353590165,1
CUST0042,30,45,226398.58,5031.08,9830.56,5,16,22,12,2.8408351413998183,0.18497210678416148,0
CUST0043,64,27,124072.15,4595.26,8823.86,5,7,12,10,-0.30916430161316655,-0.545754267059832,0
CUST0044,9,34,170497.92,5014.64,8995.26,5,12,16,10,1.1788723477677945,-0.10149966442185568,0
CUST0045,28,20,114042.76,5702.14,9576.84,5,4,12,12,-0.23308280428276332,0.6392571400458097,0
CUST0046,55,6,22303.67,3717.28,6516.31,4,1,2,4,-4.424695570206468,-1.4388637587776316,1
CUST0047,13,37,198950.83,5377.05,9980.8,5,11,20,12,1.9707727551715082,0.4776091931387508,0
CUST0048,109,16,63601.07,3975.07,9910.51,5,4,6,7,-2.46649516325085,-1.2356922497757827,1
CUST0049,20,49,270126.35,5512.78,9905.89,5,13,27,12,3.362449143287322,1.0358216916067364,0
CUST0050,17,39,217553.53,5578.3,9924.08,5,19,25,12,3.1325974459632984,0.9238913095372601,0
CUST0051,163,10,22217.14,2221.71,5727.23,4,3,1,8,-4.106270137394344,-3.140629163207204,1
CUST0052,67,30,177403.95,5913.46,9803.71,5,5,19,12,0.8061980405733574,1.470619188553581,0
CUST0053,25,31,133724.04,4313.68,9938.26,5,8,12,11,0.318753525668259,-1.1949591794907488,0
CUST0054,6,46,242754.71,5277.28,9846.97,5,10,26,12,2.825872056500112,0.571210075687706,0
CUST0055,55,23,99360.12,4320.01,9724.94,5,5,10,10,-0.8604904760594682,-1.064865673888961,1
CUST0056,37,17,67469.35,3968.79,9009.67,5,2,4,9,-1.9831959469276468,-1.8096812293200668,1
CUST0057,21,42,183899.63,4378.56,9330.2,5,13,17,12,1.9194663771328717,-0.9722998327519189,0
CUST0058,59,11,66684.78,6062.25,8864.68,4,7,8,10,-1.867220026760586,1.6423198618402068,1
CUST0059,34,35,161658.76,4618.82,9844.46,5,9,17,9,0.6186547617487234,-0.41262720902500877,0
CUST0060,40,20,124613.4,6230.67,9904.9,5,6,13,8,-0.6765961797541036,1.6984734376705577,1
CUST0061,4,32,177245.0,5538.91,9711.22,5,6,17,12,1.1218096316117028,0.5410715917834192,0
CUST0062,73,27,133001.13,4925.97,9899.58,5,10,14,10,0.10470699910966942,0.017861803957513255,0
CUST0063,18,18,87232.87,4846.27,9383.8,4,5,7,9,-1.8166263868911068,-0.1627508725705917,1
CUST0064,8,19,111191.53,5852.19,9453.43,5,4,13,10,-0.47660188188232966,0.8748172170593241,1
CUST0065,36,14,51896.92,3706.92,9831.21,4,4,4,7,-2.968298498497541,-1.6402683193876204,1
CUST0066,17,24,117226.33,4884.43,9972.82,5,10,10,10,-0.05099778869632431,-0.5033923440531842,0
CUST0067,24,15,75864.34,5057.62,8635.48,5,3,9,10,-1.2879545457789898,-0.29643785365308817,1
CUST0068,12,35,197672.85,5647.8,9939.82,5,8,19,11,1.4250224379413918,0.8813214594618817,0
CUST0069,4,44,237796.07,5404.46,9706.79,5,10,23,12,2.5754322735534876,0.6314904029847797,0
CUST0070,207,5,21052.64,4210.53,7782.51,3,2,3,5,-5.436966891577187,0.49165157948360544,1
CUST0071,234,5,24559.73,4911.95,9882.87,4,2,2,4,-5.146035042067589,1.176306862997946,1
CUST0072,10,15,85002.19,5666.81,9672.15,5,4,9,9,-1.2082210954600678,0.521512345584898,1
CUST0073,2,7,32471.44,4638.78,9299.05,4,1,4,6,-3.5173929922405156,-0.5246107639466909,1
CUST0074,17,23,118316.79,5144.21,9647.84,5,7,12,12,0.16166437500470865,-0.18781844141477644,0
CUST0075,104,6,32418.86,5403.14,8598.22,5,2,4,6,-3.32045202010085,0.6258727705752102,1
CUST0076,99,16,68103.77,4256.49,9117.37,5,6,5,9,-1.8899733439232016,-1.0601600903998833,1
CUST0077,38,43,180514.8,4198.02,9740.61,5,16,16,12,2.0345538752346064,-1.1766638316771887,0
CUST0078,104,10,48807.81,4880.78,8516.05,5,1,6,6,-3.0992148221217524,0.014307637563719387,1
CUST0079,15,31,168689.23,5441.59,9934.3,5,9,15,9,0.5751094072980243,0.5531888666223086,0
CUST0080,11,23,124638.05,5419.05,9928.58,5,6,13,11,0.042961518649799774,0.2582684381549477,0
CUST0081,24,9,38731.76,4303.53,7872.96,4,2,4,8,-3.09955920491271,-0.9677115318432642,1
CUST0082,59,11,52178.31,4743.48,9279.15,4,2,5,7,-3.2115211415971614,-0.06352359080418754,1
CUST0083,2,38,199886.53,5260.17,9854.7,5,6,21,12,1.6787491985190426,0.3144277600071199,0
CUST0084,1,44,254600.66,5786.38,9883.64,5,10,26,12,2.9000463525170916,1.2601329574752766,0
CUST0085,73,17,98878.98,5816.41,9935.15,5,5,11,11,-0.7907147918519883,1.0410623090152977,1
CUST0086,160,7,60466.43,8638.06,9987.0,5,3,7,6,-2.8752794367662893,5.455824372387516,1
CUST0087,4,27,118126.71,4375.06,9243.94,5,4,11,10,-0.3860073240413422,-1.2071163526312927,1
CUST0088,4,46,231045.88,5022.74,9954.68,5,12,24,12,2.799416604053906,0.1188829860201259,0
CUST0089,28,43,208590.69,4850.95,9594.62,5,6,21,11,1.5540662451279694,-0.026240584171582156,0
CUST0090,7,22,99926.54,4542.12,9198.38,5,2,11,10,-0.8371847778919151,-0.9832993876184571,1
CUST0091,8,37,176958.12,4782.65,8999.93,5,9,20,12,1.637462773122118,-0.38994515867443497,0
CUST0092,31,27,144101.65,5337.1,9665.57,5,5,12,12,0.22559979378489106,0.20747214417418997,0
CUST0093,17,48,219073.54,4564.03,9351.07,5,9,22,12,2.312533858268182,-0.5052316441823026,0
CUST0094,8,35,178857.32,5110.21,9852.86,5,8,17,11,1.1683144272868184,0.0303010546847337,0
CUST0095,31,46,195303.07,4245.72,9897.04,5,8,18,12,1.6853656821547573,-1.0236233037970959,0
CUST0096,71,18,100309.97,5572.78,9634.11,5,3,8,9,-1.4680364953962766,0.7350244433627167,1
CUST0097,2,25,134931.82,5397.27,9927.24,5,7,13,12,0.48256799837111086,0.1328348082914627,0
CUST0098,2,48,254512.17,5302.34,9936.25,5,14,25,12,3.274770363689899,0.5524695532348718,0
CUST0099,11,42,204233.62,4862.71,9820.48,5,15,19,11,2.243156687768911,-0.21976882303215695,0
CUST0100,7,23,95834.67,4166.72,9822.2,5,7,9,8,-0.9043158335211998,-1.4713771169998184,1
CUST0101,3,44,196221.44,4459.58,9720.8,5,10,17,11,1.7156776271117098,-0.8677002990498918,0
CUST0102,6,21,109032.34,5192.02,9735.92,5,4,11,9,-0.7641971770955948,-0.040861246458756745,1
CUST0103,24,32,181931.61,5685.36,9549.63,5,9,20,12,1.498550886116022,0.9394376301632488,0
CUST0104,18,15,69277.89,4618.53,9698.8,5,3,5,10,-1.5664810414547414,-1.0623050463061552,1
CUST0105,21,39,219249.21,5621.77,9742.19,5,7,24,11,1.8475033111802661,1.0954769057736584,0
CUST0106,11,36,193755.29,5382.09,9460.3,5,15,21,11,2.1401247529474063,0.5342652764945525,0
CUST0107,15,10,46684.16,4668.42,9637.97,4,4,4,6,-3.132806672014912,-0.40279590975863355,1
CUST0108,30,48,200834.73,4184.06,9526.48,5,12,19,12,2.1898321933068168,-1.093356612274675,0
CUST0109,32,50,252313.71,5046.27,9566.82,5,16,24,12,3.2729266645791153,0.3241194401661172,0
CUST0110,6,9,29530.54,3281.17,8346.84,5,3,3,7,-2.713957827112971,-2.8953107879241657,1
CUST0111,85,41,218307.91,5324.58,9020.62,5,10,23,11,1.7693848828864478,0.9990152113558107,0
CUST0112,7,25,121166.27,4846.65,9647.02,5,8,13,11,0.234336225525308,-0.5587017585689038,0
CUST0113,4,32,183718.75,5741.21,9949.24,5,7,18,12,1.3231011337648113,0.8544081509856135,0
CUST0114,21,21,112460.47,5355.26,9850.67,5,5,11,11,-0.35548820419048077,0.148504831633423,1
CUST0115,6,50,251570.67,5031.41,9806.81,5,15,26,11,3.2440347498117514,0.28349891275300976,0
CUST0116,2,18,99000.63,5500.04,9594.68,5,4,12,11,-0.46064700144162063,0.25182928271168464,1
CUST0117,42,23,126374.49,5494.54,9967.91,5,6,14,10,-0.21586550976506247,0.6268539840002875,0
CUST0118,50,7,22471.58,3210.23,8467.89,4,1,2,7,-3.863513216670542,-2.329341099208271,1
CUST0119,23,23,79147.92,3441.21,9859.3,5,6,6,12,-0.6822599695596151,-2.720931325605866,1
CUST0120,21,5,14196.54,2839.31,7994.45,4,1,1,5,-4.285837491085779,-2.920053274798228,1
CUST0121,36,12,59392.01,4949.33,8471.52,4,5,7,7,-2.6280302647942224,0.147191113073156,1
CUST0122,83,17,70922.29,4171.9,8740.0,5,4,5,10,-1.7601500701450208,-1.308441366883855,1
CUST0123,12,19,78130.06,4112.11,9964.54,5,4,6,7,-1.7891542519750334,-1.5671401864665322,1
CUST0124,35,43,213809.55,4972.32,9944.55,5,15,19,12,2.4067118794689355,0.021942136477925034,0
CUST0125,25,32,133699.3,4178.1,8881.75,5,8,14,10,0.2757586369760621,-1.2589964159996834,0
CUST0126,1,31,162176.41,5231.5,9876.51,5,7,17,12,1.0723162429426953,0.07413477861476997,0
CUST0127,5,39,157357.21,4034.8,9957.69,5,11,12,12,1.2437089669617025,-1.7227371281910167,0
CUST0128,6,23,126638.04,5506.0,9916.63,5,9,12,10,0.10806548577778421,0.3644775508410172,0
CUST0129,12,28,179959.45,6427.12,9973.23,5,7,21,12,1.358555219797718,1.9196730232235986,0
CUST0130,3,44,221847.37,5041.99,9960.83,5,23,20,11,3.223691035454189,0.00260961352652252,0
CUST0131,4,12,61377.11,5114.76,9370.81,5,2,7,9,-1.7567318869215927,-0.35455202268198355,1
CUST0132,55,28,137855.04,4923.39,9480.92,5,6,18,12,0.5035823041854808,-0.04998070124821059,0
CUST0133,16,22,108730.41,4942.29,9600.26,5,6,11,8,-0.8100010484208486,-0.2764316878655865,1
CUST0134,15,30,149702.87,4990.1,9829.99,5,9,18,11,0.9244088758446176,-0.11832615534866367,0
CUST0135,11,19,101509.36,5342.6,9374.94,5,8,11,10,-0.3613959488455829,0.10008841225115288,1
CUST0136,59,28,167082.79,5967.24,9740.4,5,9,20,11,0.9443921578072839,1.5507924536858482,0
CUST0137,97,11,60285.64,5480.51,9931.58,4,3,6,7,-3.1457928177476875,1.1879273030838524,1
CUST0138,16,12,62617.41,5218.12,9625.98,4,4,6,8,-2.4521739236256663,0.32065576844266014,1
CUST0139,8,26,121236.35,4662.94,9301.62,5,8,12,11,0.18972020713032817,-0.8344593364386041,0
CUST0140,14,44,224604.21,5104.64,9939.47,5,12,24,11,2.4704865388373842,0.33429206986424675,0
CUST0141,48,20,85242.15,4262.11,9979.86,5,5,7,8,-1.5523049834954648,-1.1827501926952066,1
CUST0142,47,34,151071.92,4443.29,9251.48,5,14,15,11,1.1209590795426199,-0.8022544768560121,0
CUST0143,3,38,193394.15,5089.32,9597.21,5,13,18,12,2.0521896608103845,-0.0531987332310363,0
CUST0144,21,36,168036.58,4667.68,9638.91,5,15,16,11,1.582785866646993,-0.5859709487797561,0
CUST0145,36,22,95293.3,4331.51,9423.59,5,6,10,11,-0.5562013688569697,-1.2255664338819092,1
CUST0146,18,29,167599.17,5779.28,9668.77,5,10,19,12,1.3769623417043488,0.972240433743305,0
CUST0147,45,9,43059.98,4784.44,9678.69,5,4,4,7,-2.5594763884217153,-0.5914355341396786,1
CUST0148,1,47,213797.5,4548.88,9834.61,5,10,18,12,2.178938484652373,-0.7543017477854268,0
CUST0149,133,13,45577.13,3505.93,9437.33,5,2,5,8,-2.8822820147764263,-1.8477761456148498,1
CUST0150,18,22,121412.54,5518.75,9137.92,5,8,13,12,0.3178703354382328,0.3586750755638262,0
CUST0151,32,30,141251.48,4708.38,9797.09,5,9,14,9,0.17122055381095794,-0.42989967656628797,0
CUST0152,26,14,58208.31,4157.74,9142.52,5,4,6,9,-1.7797230689725643,-1.576783003584913,1
CUST0153,71,24,118513.57,4938.07,9850.28,5,9,13,11,-0.03648397377004353,-0.08656042905206619,0
CUST0154,54,49,268433.44,5478.23,9966.44,5,15,29,12,3.4711000602348165,1.2279732960844336,0
CUST0155,23,15,66234.65,4415.64,9146.38,4,2,7,8,-2.5447169330317134,-0.6816601207144125,1
CUST0156,16,43,205761.83,4785.16,9165.01,5,10,22,12,2.176143965983144,-0.2352748218487808,0
CUST0157,63,14,61593.78,4399.56,9601.54,5,5,6,8,-2.016271072027534,-0.9827289233921012,1
CUST0158,3,38,192787.46,5073.35,9870.24,5,17,19,11,2.271206723511744,-0.006046782281593489,0
CUST0159,28,18,74291.51,4127.31,9805.8,5,3,6,10,-1.467432966024114,-1.6342693514667113,1
CUST0160,36,30,163580.55,5452.68,9885.49,5,8,16,12,0.9219971765956907,0.537022827574039,0
CUST0161,40,23,104262.92,4533.17,9778.3,5,8,10,11,-0.2981267525960183,-0.9237167022213577,0
CUST0162,23,40,225145.76,5628.64,9760.42,5,9,23,12,2.203693411181246,1.0265776065845322,0
CUST0163,33,43,257054.67,5978.02,9965.19,5,9,28,12,2.7698374479165593,1.7723763912418482,0
CUST0164,57,18,99268.91,5514.94,9958.52,5,4,11,10,-0.9680606845282502,0.60682417863631,1
CUST0165,37,29,169738.24,5853.04,9412.31,5,11,19,11,1.2082823210269633,1.236102053428633,0
CUST0166,3,37,175100.89,4732.46,9563.55,5,8,14,11,1.030154034012833,-0.6137492832203378,0
CUST0167,22,38,186025.06,4895.4,9388.04,5,9,19,11,1.4275139690352556,-0.1149670454255624,0
CUST0168,5,36,173912.01,4830.89,9807.05,5,12,19,12,1.8065189148915803,-0.39216923760864425,0
CUST0169,87,23,92893.99,4038.87,9575.21,5,5,6,11,-1.1325297023233187,-1.4635470303860314,1
CUST0170,8,27,137403.92,5089.03,9805.41,5,8,14,9,0.11139397752528704,-0.046771378078741335,0
CUST0171,153,5,16281.22,3256.24,9205.05,4,2,1,4,-4.98549172523829,-1.5618763802843016,1
CUST0172,25,34,181357.43,5334.04,9946.69,5,13,18,12,1.7578128841531229,0.3827131633717678,0
CUST0173,61,17,94508.88,5559.35,9617.93,4,6,10,10,-1.5178073516643629,1.0884213050614124,1
CUST0174,19,27,123678.79,4580.7,8546.39,5,5,14,9,-0.328826527921777,-0.6863112721200174,1
CUST0175,5,36,179487.88,4985.77,9918.2,5,12,20,10,1.5500442469011193,-0.022634260554000887,0
CUST0176,51,8,33892.76,4236.6,9952.17,5,2,4,6,-3.0758943456872854,-1.2470740700436669,1
CUST0177,11,22,88120.46,4005.48,9105.78,5,4,8,12,-0.6121835857754644,-1.9320284623622461,1
CUST0178,5,34,190295.56,5596.93,9713.7,5,10,21,12,1.847426116617162,0.7539443435558003,0
CUST0179,5,40,222398.72,5559.97,9834.22,5,5,25,12,2.039316867550221,0.9099775031729567,0
CUST0180,8,18,97518.96,5417.72,9626.83,5,9,10,9,-0.5504572188034719,0.20073416428000493,1
CUST0181,30,18,97608.95,5422.72,8649.03,5,8,11,9,-0.6865707675824148,0.3667307503038939,1
CUST0182,27,35,211242.49,6035.5,9749.8,5,14,21,12,2.283894563470467,1.4917152312544062,0
CUST0183,56,14,89619.49,6401.39,8784.72,5,4,11,10,-1.0840891061421527,1.7865556432473246,1
CUST0184,50,42,183926.23,4379.2,9725.32,5,11,16,12,1.5451179006013909,-0.8308648977168263,0
CUST0185,44,16,72927.91,4557.99,9033.09,4,6,6,9,-2.093286789457707,-0.4696971450248459,1
CUST0186,5,19,110605.63,5821.35,9378.93,5,2,12,8,-1.06115755845001,0.9110145433845088,1
CUST0187,4,18,88889.31,4938.3,9634.27,5,4,8,9,-1.172069655599094,-0.5253540541580987,1
CUST0188,49,5,30774.49,6154.9,9712.79,3,0,3,4,-4.799647112681802,2.3262117826639273,1
CUST0189,14,35,182965.16,5227.58,9881.55,5,8,22,11,1.4643706630775823,0.38749393287135564,0
CUST0190,18,23,120328.56,5231.68,9865.8,5,8,12,9,-0.27970468966806206,0.1110344139215009,0
CUST0191,17,17,72993.2,4293.72,9902.35,5,9,7,10,-0.8623627270378849,-1.4701097554121496,1
CUST0192,55,25,138256.26,5530.25,9928.73,5,9,15,11,0.3612353724778574,0.7265973913351089,0
CUST0193,29,18,108034.68,6001.93,9322.81,5,3,12,10,-0.7655223218754778,1.1633479344211997,1
CUST0194,28,13,49333.78,3794.91,8209.77,4,4,5,8,-2.7314194801595684,-1.5967843064430276,1
CUST0195,11,21,101415.37,4829.3,9552.85,5,7,10,10,-0.4821441202901281,-0.6239515549177135,1
CUST0196,12,38,168709.87,4439.73,9854.26,5,13,14,11,1.3886012261384268,-0.9993562512193861,0
CUST0197,7,48,245784.61,5120.51,9404.72,5,16,25,12,3.354471319893996,0.3063284039000763,0
CUST0198,27,31,128794.72,4154.67,9212.27,5,10,13,12,0.6779199172739817,-1.4463104014133146,0
CUST0199,3,42,224636.67,5348.49,9750.42,5,8,22,12,2.1971009513307163,0.5050839585261998,0
CUST0200,4,42,195090.46,4645.01,9961.92,5,13,19,12,2.2106988121438262,-0.6209584465815857,0
CUST0201,1,33,167743.64,5083.14,9967.98,5,8,18,11,1.124365630233726,-0.03359027197529188,0
CUST0202,59,34,157170.31,4622.66,9784.92,5,10,15,12,0.9481463255702332,-0.5187586540823887,0
CUST0203,91,16,69730.87,4358.18,9907.06,5,5,6,8,-2.0418050067471496,-0.8691109064165529,1
CUST0204,15,10,52462.05,5246.2,9209.95,5,2,5,8,-2.2185742205800563,-0.13441129153892348,1
CUST0205,12,32,145907.83,4559.62,9753.11,5,9,14,12,0.8947706178295273,-0.9124365105765873,0
CUST0206,9,38,187104.18,4923.79,9826.85,5,12,18,11,1.702592543017384,-0.193083575939394,0
CUST0207,31,37,167191.21,4518.68,9396.03,5,13,16,11,1.3754558783770745,-0.7252960601608859,0
CUST0208,14,23,108115.86,4700.69,9984.38,5,7,9,12,-0.09660453964215547,-0.9192621139120332,0
CUST0209,5,44,243545.47,5535.12,9904.12,5,8,25,12,2.559698057996908,0.8982706262911235,0
CUST0210,11,46,208592.4,4534.62,9772.01,5,12,16,12,2.1206004400412066,-0.7992936142347256,0
CUST0211,49,13,75788.76,5829.9,9588.48,4,4,8,10,-1.9742072290550536,1.3027329298900703,1
CUST0212,18,41,209510.7,5110.02,9877.46,5,12,19,12,2.149525717659092,0.12287880250225439,0
CUST0213,24,25,122308.97,4892.36,9937.51,5,5,14,11,-0.04073180935572571,-0.3534433063385774,0
CUST0214,51,19,65630.23,3454.22,8423.74,5,5,5,10,-1.5401276637699814,-2.476877878435598,1
CUST0215,7,13,78200.42,6015.42,9705.85,5,0,9,9,-1.6205031994655306,0.9852799659069819,1
CUST0216,2,29,156570.09,5398.97,9586.25,5,10,15,10,0.7626480342471773,0.33781792268041233,0
CUST0217,1,25,134038.52,5361.54,9674.8,5,7,13,11,0.2982374384344894,0.13568831680493204,0
CUST0218,32,29,156214.5,5386.71,9904.79,5,11,12,9,0.34292618371463024,0.44771326576686676,0
CUST0219,139,15,57939.11,3862.61,8875.14,4,3,6,9,-3.0025810116623672,-0.8938589763010781,1
CUST0220,27,19,114886.13,6046.64,9853.54,5,4,14,9,-0.6546774819951805,1.341303166828301,1
CUST0221,10,30,133291.28,4443.04,9782.96,5,6,13,12,0.43337280286249863,-1.1202116754506353,0
CUST0222,9,44,255062.0,5796.86,9948.94,5,19,27,12,3.70275291632892,1.3064843274897713,0
CUST0223,14,14,89610.04,6400.72,9917.96,5,3,9,8,-1.441760636067465,1.6108009842201574,1
CUST0224,13,31,163006.69,5258.28,9956.16,5,8,16,11,0.8681378090210998,0.20139428224033395,0
CUST0225,20,33,157063.45,4759.5,9935.91,5,12,14,12,1.2334317680233273,-0.5910250561534036,0
CUST0226,30,40,206406.74,5160.17,9939.75,5,11,20,12,2.0138549476433583,0.2892893007935277,0
CUST0227,53,41,215229.71,5249.51,9663.66,5,9,22,12,1.938034696995045,0.6275551929405507,0
CUST0228,2,16,82096.72,5131.04,9357.49,5,3,9,9,-1.2831057100224863,-0.250229830403963,1
CUST0229,23,47,241556.05,5139.49,9936.7,5,11,24,12,2.7264980818680495,0.40787446098042773,0
CUST0230,2,23,107704.74,4682.81,9696.16,5,7,10,9,-0.5258558131299619,-0.804179084578077,1
CUST0231,85,11,67986.31,6180.57,9857.06,5,4,7,8,-2.0715352060641616,1.6023165964673127,1
CUST0232,22,16,73809.96,4613.12,9806.29,5,6,8,9,-1.2721776267676033,-0.9021290758017115,1
CUST0233,31,14,72696.41,5192.6,9505.74,5,9,8,10,-0.9021374201642017,-0.14080116330611567,1
CUST0234,156,5,23612.86,4722.57,8897.62,2,2,2,5,-5.774153004729976,1.321589150075195,1
CUST0235,61,40,213976.59,5349.41,9765.3,5,10,20,12,1.836596912944373,0.7389667678748885,0
CUST0236,10,40,197431.47,4935.79,9975.35,5,10,23,11,1.9454292549071237,0.012963257039210526,0
CUST0237,144,7,27290.12,3898.59,5351.95,3,2,1,6,-4.98208443193588,-0.39343329015943584,1
CUST0238,19,35,176689.36,5048.27,9956.87,5,10,17,12,1.4498754160060865,-0.0651119221666391,0
CUST0239,4,30,147327.85,4910.93,9592.88,5,14,15,11,1.2166609212610275,-0.41042308363378993,0
CUST0240,21,33,174410.58,5285.17,9389.15,5,9,18,11,1.1700757523933776,0.36013088249385844,0
CUST0241,23,7,37787.21,5398.17,9363.62,3,2,3,5,-4.2672791477191385,1.1008776231541029,1
CUST0242,1,42,248372.61,5913.63,9931.37,5,9,26,12,2.7194697767747904,1.4278271493898325,0
CUST0243,185,8,39649.22,4956.15,9856.53,4,5,3,5,-4.210017314163693,0.9462800060540789,1
CUST0244,38,47,218584.46,4650.73,9913.85,5,10,20,12,2.1507605155098877,-0.33748612414578594,0
CUST0245,1,21,103170.42,4912.88,9942.53,5,8,8,12,-0.0831266599590919,-0.7478709575701208,0
CUST0246,33,35,175640.33,5018.3,9804.19,5,6,20,11,1.0186376755513582,0.14266024307782785,0
CUST0247,6,46,199952.05,4346.78,9580.15,5,16,19,12,2.5975130035781713,-1.025261374324987,0
CUST0248,8,9,39593.76,4399.31,9963.79,4,2,1,7,-3.3630512252404925,-0.9610355366917898,1
CUST0249,317,9,27276.84,3030.76,6559.47,3,2,1,7,-5.657419941488273,-0.6630550922977517,1
CUST0250,64,38,163594.35,4305.11,9989.01,5,14,15,11,1.2343277278398015,-0.8754975999895612,0
CUST0251,18,34,156249.31,4595.57,9988.99,5,15,15,12,1.5759624334771534,-0.8109951367738925,0
CUST0252,34,50,239044.66,4780.89,9417.84,5,11,23,12,2.667314340789444,-0.0577473017185657,0
CUST0253,6,36,202392.85,5622.02,9949.81,5,12,20,11,1.91953774402878,0.8324073824375049,0
CUST0254,31,32,145029.34,4532.17,9954.48,5,5,16,12,0.562870511170897,-0.762880326238988,0
CUST0255,50,18,89403.4,4966.86,8851.68,5,5,9,11,-0.8869191086367325,-0.3198098622529321,1
CUST0256,122,5,17091.15,3418.23,5672.12,4,1,1,4,-4.901611483727906,-1.509331157875181,1
CUST0257,3,25,122144.73,4885.79,9939.08,5,9,14,11,0.4080998064492297,-0.49975614383924144,0
CUST0258,12,25,138321.44,5532.86,9729.49,5,7,14,9,-0.019344551207984895,0.5861081337253681,0
CUST0259,4,31,135863.12,4382.68,9889.74,5,10,13,11,0.6726846909221229,-1.193071302568556,0
