customer_id,age,income,credit_score,loan_amount,interest_rate,loan_term,debt_to_income,monthly_payment,payment_to_income,employment_years,num_open_accounts,num_late_payments,repayment_status
CUST0031,63,58999.62,623.0,46521.9,23.62,12,0.7885,4390.54,0.893,14.0,10,4,0
CUST0032,26,89892.47,818.0,13994.82,23.57,12,0.1557,1320.43,0.1763,28.0,4,2,0
CUST0033,50,128386.84,609.0,30972.21,24.73,60,0.2412,904.18,0.0845,0.0,9,2,0
CUST0034,28,142060.9,437.0,13958.83,22.63,60,0.0983,390.54,0.033,4.0,5,2,0
CUST0035,43,46467.65,570.0,25765.04,8.9,12,0.5545,2252.0,0.5816,2.0,7,2,1
CUST0036,43,120245.5,568.0,8917.52,13.0,48,0.0742,239.23,0.0239,17.0,1,0,1
CUST0037,31,90926.74,678.0,29542.97,6.68,24,0.3249,1318.43,0.174,1.0,5,2,0
CUST0038,24,136860.2,515.0,34421.27,17.84,36,0.2515,1241.65,0.1089,24.0,9,3,0
CUST0039,31,140349.3,542.0,43365.68,24.49,24,0.309,2303.41,0.1969,28.0,7,0,1
CUST0040,43,121710.24,721.0,40309.52,22.08,24,0.3312,2092.78,0.2063,8.0,3,5,1
CUST0041,24,131617.12,527.0,10779.07,23.25,36,0.0819,418.66,0.0382,9.0,4,1,1
CUST0042,34,71800.58,585.0,43353.29,24.29,36,0.6038,1707.48,0.2854,11.0,9,3,0
CUST0043,56,63049.48,328.0,6651.75,24.36,24,0.1055,352.88,0.0672,18.0,5,0,1
CUST0044,49,64939.32,621.0,22383.3,24.66,12,0.3447,2123.71,0.3924,12.0,10,1,0
CUST0045,49,20219.87,501.0,18846.85,5.0,36,0.9321,564.86,0.3352,19.0,6,5,0
CUST0046,41,85925.93,718.0,16982.96,18.49,60,0.1976,435.8,0.0609,4.0,4,3,0
CUST0047,46,108051.33,478.0,31160.23,9.97,60,0.2884,661.6,0.0735,26.0,1,2,1
CUST0048,49,122148.65,629.0,23784.42,13.01,24,0.1947,1130.87,0.1111,16.0,8,5,1
CUST0049,27,56892.23,643.0,5575.97,23.97,24,0.098,294.72,0.0622,21.0,5,1,0
CUST0050,31,23175.3,550.0,49212.87,16.64,12,2.1235,4480.04,2.3197,14.0,7,5,1
CUST0051,46,84269.03,549.0,8231.0,18.28,12,0.0977,755.72,0.1076,24.0,7,1,1
CUST0052,55,80391.48,555.0,45956.03,6.11,24,0.5717,2039.08,0.3044,25.0,8,5,1
CUST0053,57,97408.8,753.0,31019.96,18.96,60,0.3185,803.99,0.099,13.0,9,3,0
CUST0054,52,78509.07,553.0,42153.28,9.46,60,0.5369,884.47,0.1352,15.0,4,2,1
CUST0055,40,50484.17,643.0,16665.77,15.11,24,0.3301,808.94,0.1923,4.0,4,3,0
CUST0056,35,28349.75,717.0,17213.19,13.52,12,0.6072,1541.64,0.6526,,7,3,0
CUST0057,59,142988.06,320.0,42979.87,19.96,48,0.3006,1306.98,0.1097,15.0,1,2,1
CUST0058,46,130948.23,729.0,27372.81,19.29,60,0.209,714.44,0.0655,28.0,4,3,1
CUST0059,49,83133.46,698.0,17470.35,18.1,48,0.2101,514.1,0.0742,23.0,3,3,0
CUST0060,61,89436.07,703.0,30002.75,17.75,12,0.3355,2747.08,0.3686,20.0,7,1,0
CUST0061,33,26537.0,688.0,17040.28,13.28,36,0.6421,576.46,0.2607,24.0,7,2,0
CUST0062,48,52795.3,383.0,24045.03,19.6,12,0.4554,2222.8,0.5052,30.0,6,1,0
CUST0063,63,25233.56,331.0,47530.97,7.79,12,1.8836,4130.03,1.9641,19.0,3,1,1
CUST0064,64,34870.63,523.0,23786.67,9.01,36,0.6821,756.52,0.2603,5.0,10,4,0
CUST0065,29,121112.95,467.0,48271.32,5.82,12,0.3986,4150.55,0.4112,29.0,5,4,1
CUST0066,46,71565.08,503.0,4723.83,18.35,24,0.066,236.63,0.0397,3.0,5,5,0
CUST0067,29,123509.54,342.0,18012.98,12.71,36,0.1458,604.42,0.0587,2.0,9,5,1
CUST0068,48,126903.02,408.0,22242.65,11.29,48,0.1753,578.01,0.0547,22.0,3,3,1
CUST0069,55,145511.59,576.0,31179.71,23.27,48,0.2143,1003.97,0.0828,14.0,7,5,0
CUST0070,42,130722.71,388.0,14667.48,13.19,48,0.1122,394.88,0.0362,18.0,10,5,1
CUST0071,23,84259.85,632.0,9910.15,8.06,36,0.1176,310.82,0.0443,10.0,5,4,0
CUST0072,39,92252.83,829.0,47455.07,5.34,48,0.5144,1100.18,0.1431,15.0,9,1,0
CUST0073,63,,758.0,39853.71,5.5,24,0.3541,1757.38,0.1874,12.0,4,2,0
CUST0074,45,81523.86,843.0,17844.11,24.93,60,0.2189,523.02,0.077,10.0,6,5,0
CUST0075,41,52682.48,423.0,36342.93,10.28,60,0.6898,777.2,0.177,30.0,3,1,1
CUST0076,52,55944.95,837.0,30242.75,24.58,24,0.5406,1607.74,0.3449,9.0,4,2,1
CUST0077,22,112042.4,429.0,14441.26,24.45,60,0.1289,419.23,0.0449,9.0,3,5,0
CUST0078,53,33336.39,312.0,29129.15,13.59,48,0.8738,790.02,0.2844,10.0,3,0,1
CUST0079,52,34831.33,366.0,20634.66,5.09,12,0.5924,1767.33,0.6089,4.0,3,4,1
CUST0080,27,149209.36,421.0,28345.58,12.45,60,0.19,637.0,0.0512,25.0,10,1,0
CUST0081,46,78566.88,,15570.3,16.15,48,0.1982,442.46,0.0676,9.0,10,4,1
CUST0082,28,143186.73,512.0,31650.24,9.19,12,0.221,2770.65,0.2322,5.0,4,1,0
CUST0083,32,20347.84,761.0,34779.19,13.6,12,1.7092,3116.18,1.8377,7.0,5,5,1
CUST0084,51,29253.37,539.0,46271.64,20.44,60,1.5818,1237.27,0.5075,21.0,4,3,1
CUST0085,36,104192.51,572.0,41504.93,5.04,24,0.3983,1821.62,0.2098,25.0,5,4,0
CUST0086,58,139755.03,749.0,7093.33,18.31,48,0.0508,209.52,0.018,30.0,5,4,0
CUST0087,50,30457.44,340.0,44581.72,19.29,60,1.4637,1163.6,0.4584,8.0,1,0,1
CUST0088,65,128674.62,321.0,49979.05,17.95,36,0.3884,1805.61,0.1684,18.0,1,1,0
CUST0089,63,77489.82,584.0,9892.97,16.08,48,0.1277,280.78,0.0435,2.0,8,2,0
CUST0090,42,107117.36,464.0,17160.38,18.41,36,0.1602,623.92,0.0699,21.0,7,4,1
CUST0091,27,60887.23,631.0,6680.16,20.11,60,0.1097,177.39,0.035,26.0,1,5,0
CUST0092,51,73722.18,492.0,26403.53,16.89,48,0.3581,760.37,0.1238,20.0,8,0,1
CUST0093,57,37031.72,594.0,22467.69,18.51,12,0.6067,2065.29,0.6693,0.0,10,1,0
CUST0094,41,91609.07,717.0,5567.25,24.83,12,0.0608,528.68,0.0693,14.0,2,5,0
CUST0095,53,141244.9,598.0,25934.73,9.38,48,0.1836,650.08,0.0552,15.0,4,3,0
CUST0096,46,44779.35,820.0,37568.33,6.43,12,0.839,3240.8,0.8685,8.0,7,2,0
CUST0097,54,54732.45,302.0,14859.11,9.92,60,0.2715,315.13,0.0691,,8,1,1
CUST0098,52,64866.11,686.0,23311.89,10.42,24,0.3594,1080.25,0.1998,22.0,4,4,0
CUST0099,48,,784.0,35556.17,20.95,48,1.3849,1100.07,0.5142,21.0,3,3,0
CUST0100,30,85297.85,639.0,43615.32,22.3,48,0.5113,1381.26,0.1943,,9,3,1
CUST0101,31,73297.22,458.0,4666.58,20.3,36,0.0637,174.14,0.0285,10.0,10,5,1
CUST0102,27,130729.49,846.0,19620.46,10.31,48,0.1501,500.55,0.0459,27.0,9,0,0
CUST0103,37,102050.93,594.0,49873.87,19.56,48,0.4887,1506.01,0.1771,3.0,2,3,1
CUST0104,41,137445.13,347.0,16894.36,4.71,36,0.1229,504.14,0.044,11.0,7,1,1
CUST0105,48,93570.65,484.0,9329.2,5.2,48,0.0997,215.69,0.0277,19.0,4,3,0
CUST0106,31,50184.5,560.0,23518.95,17.84,48,0.4686,688.9,0.1647,28.0,5,5,0
CUST0107,26,77424.87,653.0,49394.93,9.93,48,0.638,1251.12,0.1939,22.0,5,3,0
CUST0108,34,149918.56,794.0,6226.01,11.7,36,0.0415,205.9,0.0165,18.0,5,5,0
CUST0109,64,71454.75,308.0,28730.52,18.24,12,0.4021,2637.3,0.4429,29.0,10,5,1
CUST0110,40,120846.33,535.0,30746.18,11.07,24,0.2544,1434.01,0.1424,19.0,5,5,0
CUST0111,64,108511.16,440.0,31784.16,22.92,12,0.2929,2988.91,0.3305,9.0,8,0,0
CUST0112,30,31717.34,602.0,17009.24,12.43,24,0.5363,804.1,0.3042,4.0,9,2,0
CUST0113,39,127961.44,563.0,45788.4,23.8,36,0.3578,1791.6,0.168,23.0,6,0,0
CUST0114,26,38298.41,531.0,43146.89,19.07,48,1.1266,1291.69,0.4047,30.0,9,2,1
CUST0115,47,21809.43,849.0,7055.85,11.42,36,0.3235,232.41,0.1279,18.0,7,5,0
CUST0116,28,107728.75,782.0,2226.21,22.51,60,0.0207,62.13,0.0069,10.0,10,1,0
CUST0117,62,127101.2,609.0,32812.73,6.01,12,0.2582,2824.23,0.2666,30.0,1,2,0
CUST0118,29,32634.96,850.0,7647.54,13.25,60,0.2343,174.99,0.0643,13.0,10,5,0
CUST0119,48,105139.85,801.0,31166.96,23.69,36,0.2964,1217.7,0.139,1.0,6,1,0
CUST0120,37,131208.53,401.0,49065.46,11.4,36,0.374,1615.65,0.1478,1.0,7,2,1
CUST0121,29,143371.4,765.0,5492.0,8.06,60,0.0383,111.52,0.0093,0.0,1,2,0
CUST0122,30,122307.15,510.0,4361.9,19.95,24,0.0357,221.9,0.0218,18.0,4,1,0
CUST0123,31,122523.69,302.0,14586.47,24.66,24,0.1191,776.02,0.076,17.0,5,1,1
CUST0124,23,37134.42,666.0,39709.25,8.62,36,1.0693,1255.73,0.4058,0.0,3,2,1
CUST0125,48,88391.12,365.0,24336.05,20.23,60,0.2753,647.87,0.088,18.0,2,3,1
CUST0126,61,25637.45,833.0,15779.89,17.33,12,0.6155,1441.67,0.6748,1.0,8,3,1
CUST0127,28,83734.95,754.0,4601.05,5.24,60,0.0549,87.33,0.0125,4.0,2,1,0
CUST0128,62,96097.41,632.0,19664.32,16.34,36,0.2046,694.64,0.0867,14.0,9,4,0
CUST0129,29,,520.0,22073.43,22.59,48,0.1687,702.54,0.0644,10.0,8,3,1
CUST0130,28,60631.29,620.0,33590.29,11.55,24,0.554,1574.16,0.3116,,8,0,1
CUST0131,27,32119.91,398.0,37484.86,11.51,24,1.167,1755.98,0.656,17.0,1,4,0
CUST0132,57,62853.98,,21129.62,22.28,48,0.3362,668.93,0.1277,27.0,1,2,0
CUST0133,44,33468.07,819.0,11424.2,17.62,24,0.3413,568.25,0.2037,27.0,2,2,0
CUST0134,45,34935.09,585.0,29130.9,20.86,60,0.8339,785.8,0.2699,24.0,10,4,0
CUST0135,57,23413.0,573.0,2418.71,9.38,36,0.1033,77.34,0.0396,29.0,6,2,1
CUST0136,31,93621.74,710.0,4409.69,19.43,12,0.0471,407.29,0.0522,,9,1,0
CUST0137,51,64316.48,678.0,16270.23,10.47,60,0.253,349.47,0.0652,19.0,2,0,0
CUST0138,61,26469.12,383.0,14333.04,17.73,48,0.5415,419.01,0.19,19.0,8,3,1
CUST0139,54,34796.28,740.0,6433.6,18.08,60,0.1849,163.65,0.0564,15.0,9,5,0
CUST0140,36,71384.24,356.0,1376.67,9.98,24,0.0193,63.51,0.0107,24.0,3,2,1
CUST0141,29,21004.89,740.0,9609.05,11.67,24,0.4575,450.85,0.2576,16.0,9,5,0
CUST0142,26,71619.25,343.0,22374.76,13.38,12,0.3124,2002.44,0.3355,27.0,6,4,1
CUST0143,47,112234.87,727.0,15186.25,12.21,36,0.1353,505.93,0.0541,5.0,10,3,0
CUST0144,45,31456.88,408.0,12922.51,16.16,60,0.4108,315.35,0.1203,2.0,7,2,0
CUST0145,36,63298.92,472.0,4742.59,17.11,60,0.0749,118.15,0.0224,16.0,4,2,1
CUST0146,63,125954.81,541.0,6037.42,9.0,24,0.0479,275.82,0.0263,19.0,3,5,1
CUST0147,62,84235.21,759.0,34375.54,22.46,60,0.4081,958.43,0.1365,10.0,6,1,0
CUST0148,52,77487.05,610.0,40020.15,16.22,36,0.5165,1411.34,0.2186,16.0,2,2,0
CUST0149,24,27395.71,593.0,4759.82,22.08,12,0.1737,445.68,0.1952,19.0,10,4,1
CUST0150,59,92061.13,342.0,23036.95,20.91,24,0.2502,1182.75,0.1542,10.0,10,3,1
CUST0151,25,78568.0,651.0,49136.89,5.31,24,0.6254,2162.53,0.3303,1.0,4,5,1
CUST0152,50,88128.91,462.0,18831.0,23.24,48,0.2137,606.04,0.0825,,6,5,1
CUST0153,62,104149.7,367.0,17154.85,15.5,48,0.1647,481.79,0.0555,9.0,5,5,0
CUST0154,60,133526.36,641.0,4993.6,17.77,36,0.0374,179.95,0.0162,9.0,7,1,0
CUST0155,27,60245.65,685.0,32531.17,10.56,24,0.54,1509.57,0.3007,21.0,9,0,0
CUST0156,49,86103.5,318.0,18767.29,7.38,24,0.218,843.5,0.1176,,8,1,1
CUST0157,30,40142.87,602.0,42376.99,5.67,60,1.0557,812.78,0.243,26.0,9,0,0
CUST0158,61,37036.38,685.0,8558.39,7.39,60,0.2311,171.05,0.0554,25.0,3,5,0
CUST0159,48,67358.92,543.0,48509.84,16.63,48,0.7202,1390.48,0.2477,7.0,9,1,1
CUST0160,52,137516.66,498.0,19024.21,23.86,48,0.1383,618.75,0.054,14.0,5,3,1
CUST0161,48,145614.86,504.0,40261.7,6.48,36,0.2765,1233.61,0.1017,1.0,8,2,0
CUST0162,28,112482.13,828.0,42707.14,9.63,24,0.3797,1963.43,0.2095,8.0,8,4,1
CUST0163,49,31922.76,527.0,41018.46,22.52,12,1.2849,3849.37,1.447,13.0,1,3,1
CUST0164,37,70201.6,383.0,19370.72,4.11,12,0.2759,1650.39,0.2821,26.0,6,1,1
CUST0165,40,139261.5,783.0,35107.53,6.48,48,0.2521,832.25,0.0717,14.0,10,0,0
CUST0166,23,53270.11,453.0,27891.41,19.14,60,0.5236,725.67,0.1635,13.0,2,2,1
CUST0167,29,26207.43,729.0,32308.63,16.89,12,1.2328,2945.01,1.3485,3.0,8,4,1
CUST0168,62,86998.84,547.0,36208.67,9.76,12,0.4162,3179.28,0.4385,19.0,6,1,0
CUST0169,33,106368.27,387.0,26650.74,11.25,60,0.2506,582.78,0.0657,17.0,9,4,1
CUST0170,46,133533.09,344.0,32147.87,24.59,36,0.2407,1271.23,0.1142,23.0,1,2,0
CUST0171,44,51346.37,406.0,38803.57,19.31,36,0.7557,1428.47,0.3338,4.0,1,2,1
CUST0172,63,,775.0,49060.14,13.79,24,1.1473,2350.65,0.6597,25.0,3,0,0
CUST0173,51,24807.89,506.0,3146.51,7.79,12,0.1268,273.4,0.1322,10.0,5,4,1
CUST0174,56,81541.97,337.0,37911.26,7.61,36,0.4649,1181.19,0.1738,27.0,1,5,1
CUST0175,29,123914.51,747.0,44584.84,19.48,48,0.3598,1344.41,0.1302,10.0,3,3,0
CUST0176,45,140160.36,831.0,14069.31,5.28,48,0.1004,325.79,0.0279,2.0,7,4,0
CUST0177,33,90911.67,628.0,6027.3,10.55,36,0.0663,196.04,0.0259,9.0,8,4,0
CUST0178,32,109669.43,659.0,22909.35,19.13,36,0.2089,841.27,0.0921,19.0,7,2,0
CUST0179,25,29755.35,715.0,18802.25,20.72,24,0.6319,963.58,0.3886,30.0,1,1,0
CUST0180,65,121570.56,335.0,7185.27,8.57,36,0.0591,227.05,0.0224,11.0,7,4,1
CUST0181,31,108278.07,679.0,19228.66,19.91,60,0.1776,508.48,0.0564,4.0,9,2,0
CUST0182,63,56229.67,416.0,2269.75,7.5,60,0.0404,45.48,0.0097,12.0,9,0,1
CUST0183,38,111524.92,519.0,49821.89,9.64,48,0.4467,1255.02,0.135,6.0,2,1,0
CUST0184,50,42445.33,755.0,49865.86,20.93,36,1.1748,1876.91,0.5306,21.0,6,5,1
CUST0185,56,57747.1,607.0,42716.74,18.8,24,0.7397,2149.14,0.4466,25.0,6,4,1
CUST0186,34,122968.54,542.0,39728.28,4.07,60,0.3231,732.91,0.0715,18.0,6,3,0
CUST0187,57,36870.26,388.0,4221.66,12.06,48,0.1145,111.3,0.0362,16.0,7,3,0
CUST0188,26,36292.48,624.0,32474.59,13.17,60,0.8948,741.73,0.2453,11.0,3,4,0
CUST0189,33,119811.61,432.0,22198.3,23.08,12,0.1853,2089.19,0.2092,26.0,2,4,1
CUST0190,32,41055.7,530.0,17955.13,23.73,36,0.4373,701.89,0.2052,27.0,2,2,1
CUST0191,57,55678.63,610.0,31106.99,5.51,24,0.5587,1371.82,0.2957,18.0,10,1,1
CUST0192,61,113682.26,645.0,42283.97,15.62,12,0.3719,3828.86,0.4042,2.0,1,5,0
CUST0193,38,104646.9,726.0,31287.31,4.15,60,0.299,578.32,0.0663,9.0,5,3,1
CUST0194,65,72792.03,764.0,4575.68,4.79,48,0.0629,104.94,0.0173,13.0,8,3,1
CUST0195,60,38676.93,626.0,36975.79,22.01,48,0.956,1165.16,0.3615,4.0,6,4,0
CUST0196,42,51425.92,425.0,14106.11,8.83,12,0.2743,1232.49,0.2876,1.0,5,3,0
CUST0197,48,52275.14,463.0,40860.41,23.58,36,0.7816,1594.07,0.3659,,3,3,0
CUST0198,51,84838.76,615.0,25371.14,5.44,48,0.2991,589.35,0.0834,16.0,8,1,0
CUST0199,44,26325.56,588.0,25249.82,22.47,48,0.9591,801.98,0.3656,9.0,9,0,0
CUST0200,49,37411.54,570.0,36647.9,19.92,36,0.9796,1360.47,0.4364,1.0,7,0,1
CUST0201,34,67128.09,595.0,4603.06,14.34,60,0.0686,107.92,0.0193,8.0,10,5,0
CUST0202,30,146760.77,703.0,19286.72,24.72,60,0.1314,562.93,0.046,30.0,6,1,0
CUST0203,54,72180.32,341.0,3219.86,6.45,36,0.0446,98.61,0.0164,25.0,8,4,1
CUST0204,60,136107.12,443.0,17070.33,16.68,24,0.1254,841.37,0.0742,12.0,10,5,0
CUST0205,59,63728.55,821.0,27084.65,18.74,36,0.425,989.26,0.1863,15.0,1,2,0
CUST0206,29,,615.0,40040.99,19.09,12,0.2717,3691.76,0.3006,19.0,8,2,0
CUST0207,59,95092.47,352.0,29592.64,7.17,60,0.3112,588.35,0.0742,24.0,7,1,0
CUST0208,37,24104.17,412.0,10348.43,12.98,48,0.4293,277.52,0.1382,4.0,7,5,1
CUST0209,54,,782.0,43768.07,19.32,12,0.3625,4040.2,0.4015,22.0,3,4,1
CUST0210,42,149755.97,789.0,26748.38,10.25,24,0.1786,1237.39,0.0992,14.0,9,2,0
CUST0211,65,120358.67,570.0,30893.75,7.63,24,0.2567,1392.03,0.1388,8.0,9,2,1
CUST0212,41,120252.65,512.0,34821.76,14.01,48,0.2896,951.73,0.095,11.0,9,5,1
CUST0213,29,94551.98,,44892.26,11.98,36,0.4748,1490.64,0.1892,30.0,3,2,1
CUST0214,27,65027.26,752.0,33142.63,19.57,24,0.5097,1679.87,0.31,6.0,9,2,0
CUST0215,39,37845.48,545.0,12880.44,17.9,60,0.3403,326.38,0.1035,7.0,4,0,1
CUST0216,43,113256.55,402.0,34378.41,6.46,60,0.3035,672.01,0.0712,29.0,3,3,0
CUST0217,52,82068.31,504.0,38039.64,9.68,36,0.4635,1221.73,0.1786,20.0,1,0,0
CUST0218,36,89569.8,338.0,45748.26,7.26,24,0.5108,2053.66,0.2751,29.0,1,3,1
CUST0219,33,141759.14,596.0,43960.42,3.7,60,0.3101,803.66,0.068,19.0,2,2,1
CUST0220,63,90629.06,805.0,44573.74,6.39,60,0.4918,869.84,0.1152,14.0,5,1,0
CUST0221,43,41124.25,769.0,32765.98,18.95,12,0.7968,3018.82,0.8809,23.0,6,2,0
CUST0222,34,42814.34,715.0,41522.5,14.58,12,0.9698,3739.53,1.0481,12.0,2,1,0
CUST0223,52,62068.22,554.0,1334.68,11.75,48,0.0215,34.98,0.0068,24.0,5,2,0
CUST0224,58,21486.65,668.0,34945.66,4.84,12,1.6264,2989.05,1.6693,14.0,5,1,1
CUST0225,54,140003.78,,34824.23,17.23,36,0.2487,1245.57,0.1068,11.0,10,1,0
CUST0226,30,82163.65,765.0,37639.01,16.52,48,0.4581,1076.75,0.1573,22.0,9,3,0
CUST0227,64,127328.46,553.0,34336.75,16.31,12,0.2697,3120.44,0.2941,16.0,8,4,0
CUST0228,26,139241.81,414.0,4026.14,15.27,60,0.0289,96.35,0.0083,6.0,10,4,1
CUST0229,42,131083.18,752.0,6695.76,7.92,60,0.0511,135.51,0.0124,15.0,2,4,0
CUST0230,25,78946.2,825.0,21355.8,15.62,60,0.2705,515.03,0.0783,14.0,5,5,1
CUST0231,38,126138.92,523.0,29337.25,4.47,36,0.2326,872.3,0.083,22.0,2,4,0
CUST0232,26,148197.84,783.0,2555.01,12.29,24,0.0172,120.62,0.0098,24.0,7,2,0
CUST0233,46,78309.83,686.0,19406.63,18.18,60,0.2478,494.7,0.0758,4.0,6,0,0
CUST0234,56,71097.62,430.0,36665.05,8.29,12,0.5157,3194.35,0.5391,24.0,1,2,1
CUST0235,56,75136.64,688.0,41344.66,8.82,36,0.5503,1311.29,0.2094,,5,1,0
CUST0236,29,24188.25,729.0,31131.24,23.63,12,1.287,2938.19,1.4577,7.0,4,0,1
CUST0237,24,78037.34,349.0,12991.97,4.45,48,0.1665,295.97,0.0455,7.0,9,1,0
CUST0238,25,,596.0,12473.91,23.2,60,0.3264,353.08,0.1109,10.0,10,4,0
CUST0239,42,50797.52,446.0,49299.08,14.71,48,0.9705,1364.79,0.3224,9.0,5,0,1
CUST0240,59,134362.81,479.0,31673.66,12.68,48,0.2357,844.7,0.0754,1.0,6,5,0
CUST0241,55,61435.48,726.0,21004.7,9.95,24,0.3419,968.78,0.1892,24.0,9,3,1
CUST0242,36,59095.73,447.0,40483.03,23.17,60,0.685,1145.19,0.2325,13.0,7,4,1
CUST0243,46,51571.61,508.0,17182.89,5.2,48,0.3332,397.27,0.0924,27.0,6,0,0
CUST0244,34,26699.76,686.0,34009.92,16.46,12,1.2738,3093.16,1.3902,6.0,10,5,1
CUST0245,35,,640.0,15856.21,23.04,24,0.1926,830.76,0.1211,29.0,4,5,1
CUST0246,52,138877.37,509.0,20434.97,8.65,36,0.1471,646.5,0.0559,24.0,5,3,0
CUST0247,63,66703.74,567.0,18622.59,22.48,48,0.2792,591.59,0.1064,3.0,8,2,0
CUST0248,45,60679.86,346.0,28563.71,8.26,24,0.4707,1295.25,0.2561,0.0,5,4,0
CUST0249,59,113601.55,602.0,8468.16,10.59,48,0.0745,217.18,0.0229,18.0,4,3,0
CUST0250,65,63883.36,800.0,48358.91,17.3,48,0.757,1402.92,0.2635,14.0,3,5,0
CUST0251,32,38194.61,800.0,10018.34,22.62,12,0.2623,940.65,0.2955,16.0,1,0,0
CUST0252,64,26306.87,306.0,21207.22,21.61,24,0.8061,1096.11,0.5,2.0,3,0,1
CUST0253,51,68516.09,794.0,33304.93,3.84,60,0.4861,610.96,0.107,17.0,7,0,1
CUST0254,39,89645.95,593.0,1839.99,20.98,48,0.0205,56.96,0.0076,25.0,3,0,0
CUST0255,55,39356.67,496.0,31369.26,8.93,36,0.7971,996.51,0.3038,8.0,7,0,1
CUST0256,47,79669.71,549.0,49521.42,8.36,12,0.6216,4316.04,0.6501,20.0,1,0,1
CUST0257,46,91851.19,357.0,32200.66,18.61,12,0.3506,2961.51,0.3869,15.0,7,5,0
CUST0258,58,147052.8,397.0,44844.77,23.26,24,0.305,2354.46,0.1921,6.0,10,3,1
CUST0259,26,108975.74,587.0,45066.27,15.62,12,0.4135,4080.8,0.4494,5.0,6,0,0
CUST0260,59,38744.9,707.0,46514.87,9.93,60,1.2005,986.7,0.3056,7.0,10,3,0
CUST0261,56,63124.88,443.0,39734.41,18.32,12,0.6295,3648.9,0.6937,16.0,6,0,1
CUST0262,36,129027.71,648.0,30653.27,16.7,60,0.2376,756.88,0.0704,12.0,6,0,0
CUST0263,50,83778.45,664.0,28098.85,11.57,24,0.3354,1317.08,0.1887,21.0,10,5,0
CUST0264,61,58399.33,552.0,35942.32,5.26,24,0.6155,1581.03,0.3249,12.0,3,5,1
CUST0265,45,33851.62,305.0,47205.05,13.06,36,1.3945,1591.89,0.5643,3.0,3,0,1
CUST0266,50,92408.05,824.0,20994.16,4.06,36,0.2272,620.39,0.0806,17.0,2,4,0
